SKU,"Attribute Set Name","Acne Treatment Benefits - Quiz","Anti Aging Treatments - Quiz","Cleanser Benefits - Quiz","Discoloration Benefits - Quiz","Exfoliator Benefits - Quiz","Eye Cream Benefits - Quiz",Ingredients,"Moisturizer Benefits - Quiz","Moisturizer Fragrance - Quiz","Serum Benefits - Quiz",Size,"Skin Concern","SPF Benefits - Quiz"
10123,"Kate Somerville Discoloration Treatments",,,,,,,"<p>ACTIVE INGREDIENTS: Hydroquinone 2%

<p>INACTIVE INGREDIENTS: WATER/AQUA/EAU, ETHOXYDIGLYCOL, NEOPENTYL GLYCOL DIHEPTANOATE, GLYCERYL STEARATE, CETEARYL ALCOHOL, ISOPENTYLDIOL, GLYCERIN, CYCLOPENTASILOXANE, STEARIC ACID, DICAPRYLYL CARBONATE, MAGNESIUM ALUMINUM SILICATE, CYCLOHEXASILOXANE, HYDROGENATED LECITHIN, PPG-12/SMDI COPOLYMER,OLIGOPEPTIDE-68, HYDROXYPHENYL PROPAMIDOBENZOIC ACID, PANTHENOL, BUTYLENE GLYCOL, TOCOPHERYL ACETATE, DIPOTASSIUM GLYCYRRHIZATE, SODIUM HYALURONATE, DIMETHICONE, DISODIUM EDTA, SODIUM BISULFITE, SODIUM SULFITE, SORBIC ACID, GLYCINE SOJA (SOYBEAN) OIL, XANTHAN GUM, SODIUM HYDROXIDE, PEG-100 STEARATE, BENZOIC ACID, CHLORPHENESIN, PHENOXYETHANOL     ",,No,,"0.5 Fl. Oz.",,
10015,"Kate Somerville Acne Treatments","combination skin, controls shine, helps clear blackheads, helps treat cystic acne, helps treat whiteheads, oily skin, treats and prevents acne",,,,,,"Active Ingredient: Benzoyl Peroxide 5.0%<p>                                   <p>Inactive Ingredients: Water/Aqua/Eau, PPG-2 Myristyl Ether Propionate, Argania Spinosa Kernel Extract, PEG-40 Sterate, Serenoa Serrulata Fruit Extract, Sesamum Indicum (Sesame) Seed Extract, Alcohol Denat., Sorbitan Stearate, Hydrogenated Methyl Abeitate, Methyl Methacrylate Crosspolymer, Carbomer, Glyceryl Stearate, Cetyl Alcohol, Tetrasodium EDTA, Hydrogenated Lecithin, Cholesterol, Ceramide NS, Ceramide NP, Oleic Acid, Palmitic Acid, Sodium Ascorbate, Sodium Hydroxide, EDTA, Ethyhexylglycerin, Phenoxyethanol	",,No,,"1.7 Fl. Oz.","Acne, Anti-Aging & Acne",
10016,"Kate Somerville",,,,,,,"Water/Aqua/Eau, Methyl Gluceth-10, Hamamelis Virginiana (Witch Hazel) Bark/Leaf/Twig Extract, Phytic Acid, Butylene Glycol, Anthemis Nobilis Flower Water, PEG-60 Almond Glycerides, Caprylyl Glycol, Lactic Acid, Panthenol, Glycerin, Aloe Barbadensis Extract, Carbomer, Nordihydroguaiaretic Acid, Oleanolic Acid, Sodium Hydroxide, Sodium Benzoate, Potassium Sorbate, Disodium EDTA-Copper, Chlorphenesin",,No,,"5 Fl. Oz.","Acne, Anti-Aging & Acne, Oily",
10000,"Kate Somerville Acne Treatments","controls shine, dry skin, helps treat cystic acne, helps treat whiteheads, reduces redness, treats and prevents acne",,,,,,"<p>Active Ingredient: Sulfur 10%</p>
<p>Inactive Ingredients:Isopropyl Alcohol, Water/Aqua/Eau, Camphor, Magnesium Aluminum Silicate, Salicylic Acid, Iron Oxides (CI 77489, CI 77491, CI 77492, CI 77499), Zinc Oxide (CI 77947)</p>",,No,,"1 Fl. Oz.","Acne, Anti-Aging & Acne",
10017,"Kate Somerville Eye Creams",,,,,,"all skin types, dry skin, firms the appearance of skin, improves smoothness, reduces discoloration, reduces expression lines, reduces fine lines and wrinkles","Water/Aqua/Eau, Polysilicone-11, Cyclotetrasiloxane, C12-15 Alkyl Benzoate, Glycerin, PPG-12/SMDI Copolymer, Cyclopentasiloxane, Theobroma Grandiflorum (Cupuacu) Seed Butter, Cetyl PEG/PPG-10/1 Dimethicone, Butylene Glycol, Dimethicone, C12-15 Alkyl Benzoate, Cyclopentasiloxane, Sodium Chloride, Acetyl Hexapeptide-8, Dimethiconol, Ethylhexylglycerin, Cucumis Sativus (Cucumber) Fruit Extract, Tribehenin, Cetyl Esters, Ethtylhexyl Cocoate, Urea, Sodium PCA, Hydrolyzed Rice Bran Protein, Ceramide 2, Trehalose, PEG 10 Rapeseed Sterol, PEG/PPG-18/18 Dimethicone, Dipeptide Diaminobutyroyl Benzylamide Diacetate, Carbomer, Polysorbate 20, Oxido Reductases, Glycine Soja (Soybean) Protein, Triacetin, Lecithin, Hydrogenated Lecithin, Triethanolamine, Tocopheryl Acetate, Retinyl Palmitate, Hydrogenated Lecithin, Disodium Phosphate, Cyclohexasiloxane, Caprylic/Capric Triglyceride, BHT, Ascorbyl Palmitate, Xanthan Gum, Sodium Hyaluronate, Lysine, Glycine, Polyquaternium-51, Palmitoyl Oligopeptide, Glycolipids, Sodium Phosphate, Palmitoyl Tetrapeptide-7, Proline, Phenyl Trimethicone, Phenoxyethanol",,No,,"0.5 Fl. Oz.","All Skin Types, Anti-Aging",
10112,"Kate Somerville Moisturizers",,,,,,,"Water (Aqua), Butyrospermum Parkii (Shea Butter), Glycerin, Dimethicone, Ethylhexyl Isononanoate, C4-24 Alkyl Dimethicone/Divinyldimethicone Crosspolymer/Isodecyl Isononanoate, Isohexadecane, Tridecyl Trimellitate, Pentylene Glycol, Behenyl Alcohol, Cetearyl Alcohol, Hydrogenated Lecithin, Linoleic Acid,Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Whey Protein, Cetearyl Glucoside, Linolenic Acid, 1, 2-Hexanediol, Caprylyl Glycol, Polysorbate 80, Disodium EDTA, o-Cymen-5-OL, Lavandula Angustifolia (Lavender) Oil, Lavandula Hybrida Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Pelargonium Graveolens Flower Oil, Pogostemon Cablin Oil, Polydiethyleneglycol Adipate/IPDI Copolymer, Tocopherol, Tropolone, Polypeptide-72, Citronellol, Limonene, Linalool","dry skin, improves elasticity, improves firmness, improves moisture barrier, improves smoothness, reduces fine lines and wrinkles, supports cell turnover","fresh floral, lavender & citrus",,"1.7 Fl. Oz.","Anti-Aging, Dry",
10125,"Kate Somerville Eye Creams",,,,,,"all skin types, combination skin, improves dark circles, improves puffiness, improves smoothness, oil free, oily skin, reduces fine lines and wrinkles","Water/Aqua/Eau, Butylene Glycol, Caprylic/Capric Triglyceride, Ethylhexyl Isononanoate, Cyclopentasiloxane, Glycerin, Cetyl Esters, Behenyl Alcohol, Tridecyl Trimellitate, Arachidyl Alcohol, HDI/Trimethylol Hexyllactone Crosspolymer, Hydroxyethylcellulose, Tetrahydroxypropyl Ethylenediamine, Arachidyl Glucoside, Carbomer, Hydrogenated Lecithin, Whey Protein, 1, 2-Hexanediol, Caprylyl Glycol, Dimethicone/Vinyl Dimethicone Crosspolymer, Silica, Pyridoxine Tris-Hexyldecanoate, Tropolone, Acetyl Tetrapeptide-5, Disodium Phosphate, Sodium Phosphate, sh-Polypeptide-72, Sodium Hydroxide, Citric Acid, Methylisothiazolinone, Mica, Titanium Dioxide (CI 77891), Tin Oxide (CI 77861)",,No,,"0.5 Fl. Oz.","All Skin Types, Anti-Aging",
10111,"Kate Somerville",,,,,,,"Water/Aqua/Eau, Stearic Acid, Cetearyl Alcohol, Ceteareth-20, Isopropyl Myristate, Isocetyl Stearoyl Stearate, Dimethicone, Cyclopentasiloxane, Dipalmitoyl Hydroxyproline, Glycerin,
C12-15 Alkyl Benzoate, Algae Extract, Pullulan, Ceramide 2, Palmitoyl Oligopeptide, Tribehenin, PEG 10 Rapeseed Sterel, Orbignya Oleifera Seed Oil, Cannabis Saliva Seed Oil, Caprylic/Capric Triglyceride, Sodium PCA, Trehalose, Sodium Hyaluronate, Copper PCA, Urea,Polyquaternium-51, Triacetin, Squalane, Tocopheryl Acetate, Ascorbyl Palmitate, Simmondsia Chinensis( Jojoba) Seed Oil, Macadamia Tamifolia Seed Oil, Cholesterol, Sodium Polystyrene Sulfonate, Allantoin, Silk Amino Acids, Citrus Grandis(Grapefruit) Peel Oil, Xanthan Gum, Citric Acid, Triethanolamine, Phenoxyethanol, Potassium Sorbate, Sodium Benzoate, Butylene Glycol, Chlorphenesin, Disodium EDTA, Fragrance, Geraniol, Limonene, Hexyl Cinnamal

",,No,,"1.7 Fl. Oz.",,
10011_Old,"Kate Somerville",,,,,,,"Water/Aqua/Eau, Isocetyl Stearate, Pentaerythrityl Tetracaprylate/Tetracaprate, C12-15 Alkyl Benzoate, Polyamide-5, Xylitolglucoside, Anhydroxylitol, Xylitol, Dipalmitoyl Hydroxyproline, PEG/PPG-18/18 Dimethicone, Behenyl Alcohol, Pullulan, Cetearyl Ethylhexanoate, Sodium Polyacrylate, Dimethicone, Cyclopentasiloxane, Butylene Glycol, Trideceth-6, Algae Extract, Triethanolamine, Ahnfeltia Concinna Extract, Ethylhexylglycerin, Phenoxyethanol",,No,,"1.7 Fl. Oz.","Acne, Anti-Aging & Acne, Oily",
10012,"Kate Somerville Moisturizers",,,,,,,"Aloe barbadensis Leaf Juice, Goat Milk, Cocos nucifera (Coconut) Oil, Emulsifying Wax NF, Stearic Acid, Glycerin, Vitis vinifera (Grape) seed Oil, Simmondsia chinensis (Jojoba) Seed Oil, Persea Gratissima (Avocado) Oil, Hamamelis virginiana (Witch Hazel) Water, Tocopherol, Phenoxyethanol, Xanthan Gum, Salix nigra (Willow) bark Extract, Ascorbyl Palmitate, Mannan, Melia Azadirachta Seed Oil, Rosmarinus officinalis (Rosemary) Extract, Tetrasodium EDTA, Citric Acid","dry skin, improves moisture barrier, improves smoothness, sensitive skin, supports cell turnover, very dry skin",No,,"1.7 Fl. Oz.","All Skin Types, Dry, Sensitive",
10098,"Kate Somerville",,,,,,,"Propylene Glycol,PEG-8,Aluminum Starch Octenylsuccinate,Polyethylene,Polyacrylamide, C13-14 Isoparaffin, Laureth-7,Oxidized Polyethylene,Lactic Acid,Glycolic Acid,Carica Papaya (Papaya) Fruit Extract,Papain, Lactobacillus/Pumpkin Fruit Ferment Filtrate,Caffeine,Aloe Barbadensis Leaf Juice,Ascorbyl Palmitate,Tocopheryl Acetate,Lavandula Angustifolia (Lavender) Oil,Citrus Aurantium Bergamia (Bergamot) Fruit Oil,Sorbic Acid,Phenoxyethanol,Limonene, Linalool",,No,,"5 Fl. Oz.","All Skin Types",
10116_Old,"Kate Somerville",,,,,,,"Water/Aqua/Eau, Propanediol, Dihydroxyacetone, Butylene Glycol, Pentylene Glycol, Polysorbate-20, PEG-40 Castor Oil, Sodium Metabisulfite, Tocopherol, Tocopherol Acetate, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Cucumis Sativus (Cucumber) Fruit Extract, Ascorbic Acid, Citric Acid, Benzyl Alcohol, Potassium Sorbate, Phenoxyethanol, Fragrance (Parfum), Citral, Coumarin, Geraniol, Limonene, Linalool      ",,No,,"8 pack","All Skin Types",
10113,"Kate Somerville",,,,,,,"Water/Aqua/Eau, Propanediol, Dihydroxyacetone, Butylene Glycol, Pentylene Glycol, Polysorbate-20, PEG-40 Castor Oil, Sodium Metabisulfite, Tocopherol, Tocopherol Acetate, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Cucumis Sativus (Cucumber) Fruit Extract, Ascorbic Acid, Citric Acid, Benzyl Alcohol, Potassium Sorbate, Phenoxyethanol, Fragrance (Parfum), Citral, Coumarin, Geraniol, Limonene, Linalool      ",,No,,No,"All Skin Types",
10120,"Kate Somerville",,,,,,,"Active Ingredients:                                                                             
<p>Homosalate, 10%, Oxybenzone, 6%, Octysalate, 5%, Avobenzone, 3%, Octocrylene, 2%
<p>Inactive Ingredients: Water/Aqua/Eau, Butylene Glycol, PEG-8, Polyethylene, Silica, Dimethicone, Methyl Glucose Sesquistearate, Titanium Dioxide, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Kaolin, Picea Abies Extract, Sodium Polyacrylate, Aloe Barbadensis Leaf Juice, Ethyhexylglycerin, Tocopheryl Acetate, Bentonite, Sodium Ascorbyl Phosphate, Retinyl Palmitate, Tocopherol, Disodium EDTA, Sodium Hydroxide, Phenoxyethanol, Chlorphenesin",,No,,"2 Fl. Oz.","All Skin Types",
10100,"Kate Somerville",,,,,,,"<p>Gentle Daily Wash: Water/Aqua/Eau, Sodium C14-16 Olefin Sulfonate, Cocamidopropyl Betaine, PEG/PPG-8/3 Diisostearate, Glycerin, Acrylates Copolymer, Silicone Quaternium-8, Saponins, Butylene Glycol, Chlorphenesin, Sodium Hydroxide, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Lavandula Angustifolia (Lavender) Oil, Disodium EDTA, Potassium Sorbate, Sodium Benzoate, Salvia Officinalis (Sage) Oil, Zinc PCA, Citric Acid, Limonene, Linalool                                                                                                         
<p>ExfoliKate: Water/Aqua/Eau, Lactic Acid, Polyethylene, Cetearyl Alcohol,  Ceteareth-20,  Glycine Soja (Soybean) Oil, Pectin, Carica Papaya Fruit,  Lactobacillus/Pumpkin Fruit Ferment Filtrate, Aloe Barbadensis Leaf Juice, Papain, Bromelain, Tocopheryl Acetate, Retinyl Palmitate, Mel/Honey/Miel, Acetic Acid, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Lavandula Angustifolia (Lavender) Oil, Geranium Maculatum Oil, Pogostemon Cablin Oil, Aniba Rosaeodora (Rosewood) Wood Oil, Citrus Aurantium Dulcis (Orange) Oil, Cinnamomum Cassia Leaf Oil, Salicylic Acid, Dehydroxanthan Gum, Cetyl Alcohol, Glyceryl Stearate, PEG-100 Stearate, Cinnamal, Potassium Sorbate, Alcohol, Phenoxyethanol, Methylparaben, Butylparaben, Ethylparaben, Propylparaben, Citral, Limonene, Linalool, Geraniol, Citronellol, Eugenol, Benzyl Benzoate, Beta-Carotene (CI 75130), Chlorophyllin-Copper Complex (CI 75810)                                                                                           <p>Quench: Cyclopentasiloxane, Dimethiconol, Dimethicone, Cyclomethicone, Ethylhexyl Cocoate, Phenyl Trimethicone, Lecithin, Glycolipids, Caprylyl Glycol, Ethylhexy Stearate, Phenyl Trimethicone, Water (Aqua), Sodium Hyaluronate, Caprylic/Capric Triglyceride, Sodium Ascorbate, Tocopherol, Retinol                                                  
<p>HydraKate: Water/Aqua/Eau, Dimethiconol, Cyclopentasiloxane, Ethylhexyl Cocoate, Glycerin, Pullulan, Phenoxyethanol, Carbomer, Caprylyl Glycol, Algae Extract, Sodium Hydroxide, Phenyl Trimethicone, Ethylhexylglycerin, Sodium Hyaluronate, Citrus Grandis (Grapefruit) Peel Oil,  Acetyl Octapeptide-3, Pentapeptide-3, Dimethicone, Lecithin, Glycolipids, Parfum/Fragrance, Hexyl Cinnamal, Limonene                                          
<p>Deep Tissue Repair Cream: Water/Aqua/Eau, Stearic Acid, Ceteareth-20, Cetearyl Alcohol, Isopropyl Myristate, Isocetyl Stearoyl Stearate, C12-15 Alkyl Benzoate, Glycerin, Cyclopentasiloxane, Dimethicone, Orbignya Oleifera Seed Oil, Caprylic/Capric Triglyceride, Cannabis Sativa Seed Oil,
Squalane, Cholesterol, Urea, Sodium PCA, Macadamia Ternifolia Seed Oil, Silk Powder, Simmondsia Chinensis (Jojoba) Seed Oil, Cetyl Alcohol, Triethanolamine, Butylene Glycol, Chlorphenesin, Xanthan Gum, Polyquaternium-51, Trehalose, Tocopheryl Acetate, Parfum/Fragrance, Allantoin, Limonene, Potassium Sorbate, Sodium Benzoate, Ascorbyl Palmitate, Ceramide 2, Citric Acid, PEG-10 Rapeseed Sterol, Palmitoyl Oligopeptide, Tribehenin, Phenoxyethanol, Sodium Hyaluronate, Triacetin, Copper PCA, Hexyl Cinnamal, Benzoic Acid, Geraniol, Disodium EDTA
",,No,,Kit,Anti-Aging,
